Fecha;Column 3;Column 4;Número
28/6/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;13841
29/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;10613
29/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;14023
29/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;18483
29/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;24067
29/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;28551
29/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;32625
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;13930
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;14162
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;14319
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;14381
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;14515
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;14596
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;14823
30/6/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;49791
30/6/20;#Felices20Flavio;http://twitter.com/search?q=%23Felices20Flavio;15115
30/6/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;16535
30/6/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;21088
30/6/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;24592
1/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;46146
1/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;46876
1/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;47177
1/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;47034
1/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;46010
1/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;10894
1/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;18532
1/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;22759
1/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;26529
2/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;47891
2/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;46558
2/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;12066
2/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;16031
2/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;20744
2/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;25005
3/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;46990
4/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;11740
4/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;18726
5/7/20;#Felices24Sofia;http://twitter.com/search?q=%23Felices24Sofia;10050
5/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;11437
5/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;14182
